No.	NAME	MDEC-11	MDEC-12	MDEC-13	MDEC-14	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-11	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
123	50248880	0.2	3.0405	3.2477	0	20.5726	23.8225	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
124	50248849	0.2	2.9458	3.2477	0	18.1259	23.492	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
125	50248819	0.5988	6.749	4.752	0	13.3333	22.7075	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
126	50248816	0.6428	6.277	4.9052	0	11.4419	22.2245	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
127	50248815	0.6742	6.3831	5.1788	0	11.5117	22.4751	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
128	50248783	0.7394	5.7661	5.3609	0	10.0302	21.9143	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
129	50248780	0.2	3.1157	3.2866	0	20.8712	24.6508	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
130	50248746	0.2	3.0095	3.2866	0	18.3766	24.2194	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
131	50248657	0.6742	6.3831	5.1788	0	11.5117	22.4751	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
132	50248637	0.7037	5.6796	5.0634	0	10.032	21.8904	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
133	50169862	0.2763	4.7305	3.8143	0	14.9368	21.3437	0	9.4209	0	0	0.6694	0.63	0	0	0	0	0	0.3333
134	50169852	0.3173	4.6904	4.9138	0	11.7017	22.4616	0	10.1036	0	0	0.6978	0.773	0	0	0	0	0	0
135	50169851	0.3347	4.7624	5.1565	0	11.7997	22.8932	0	10.8172	0	0	0.7131	0.8067	0	0	0	0	0	0
136	50169849	0.2	2.7297	3.2866	0	14.9368	21.3437	0	9.4209	0	0	0.7131	0.8067	0	0	0	0	0	0
137	50169865	0.3173	4.9351	4.9138	0	14.1776	23.0353	0	10.1036	0	0	0.6694	0.63	0	0	0	0	0	0
138	50169872	0.2	2.8381	3.2866	0	17.6924	21.8362	0	9.4209	0	0	0.6694	0.63	0	0	0	0	0	0
139	50169871	0.3173	4.6904	4.9138	0	12.0261	22.4616	0	10.1036	0	0	0.6694	0.63	0	0	0	0	0	0
140	50169859	1.1383	7.4178	7.0029	0	8.0153	21.0542	0	10.1036	0	0	0.6694	0.63	0	0	0	0	0	0
141	50169857	0.5988	6.2206	4.752	0	10.5233	19.7987	0	8.9759	0	0	0.6694	0.63	0	0	0	0	0	0
142	8960	0.2	3.0405	3.1806	0	20.5726	23.6892	0	8.3455	0	0	0.3651	0.3333	0	0	0	0	0	0
143	50169851	0.3347	4.7624	5.1565	0	11.7997	22.8932	0	10.8172	0	0	0.7131	0.8067	0	0	0	0	0	0
144	50169869	1.189	7.4969	7.4455	0	8.0618	21.1657	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0
145	50169870	0.7037	5.1116	5.0634	0	7.379	18.8508	0	8.9759	0	0	0.6694	0.63	0	0	0	0	0	0
146	50169861	1.3905	5.6529	7.9629	0	5.6797	19.0133	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0
147	50169849	0.2	2.7297	3.2866	0	14.9368	21.3437	0	9.4209	0	0	0.7131	0.8067	0	0	0	0	0	0
148	50248879	0.2	3.1157	3.2866	0	20.8712	24.6508	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
149	50248818	0.6269	6.8724	5.0029	0	13.4683	23.1545	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
150	50248781	0.2	3.0405	3.2477	0	20.5726	23.8225	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
151	50248714	0.6269	6.8724	5.0029	0	13.4683	23.1545	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
152	50169854	0.563	6.5541	5.5934	0	11.7017	22.4616	0	10.1036	0	0	0.6694	0.63	0	0	0	0	0	0.3333
153	50169863	0.2	2.7643	3.2477	0	17.5383	21.1054	0	8.9759	0	0	0.6694	0.63	0	0	0	0	0	0
154	50248636	0.7394	5.7661	5.3609	0	10.0302	21.9143	0	9.4209	0	0	0.3651	0.3333	0	0	0	0	0	0
155	50169853	0.6269	6.3036	5.0029	0	10.5961	20.1552	0	9.4209	0	0	0.6694	0.63	0	0	0	0	0	0
156	50169858	0.2	2.6672	3.2477	0	14.8104	20.7121	0	8.9759	0	0	0.6978	0.773	0	0	0	0	0	0
157	50248715	0.5988	6.749	4.752	0	13.3333	22.7075	0	8.9759	0	0	0.3651	0.3333	0	0	0	0	0	0
158	50169873	0.3347	4.7624	5.1565	0	12.1268	22.8932	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0
159	50169856	0.59	6.6472	5.8965	0	11.7997	22.8932	0	10.8172	0	0	0.6694	0.63	0	0	0	0	0	0.3333
160	50490884	0	0	0	0	33.108	19.4199	0	6.0836	0	0	0	0	0	0	0	0.25	0.2041	0
161	50490937	0.25	3.8669	1.9073	0	28.1705	35.6568	0	8.2213	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
162	50490938	0.25	3.7149	1.8228	0	21.3984	28.7389	0	6.3129	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
163	50490939	0.25	3.7149	1.8228	0	21.3984	28.7389	0	6.3129	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
164	50490940	0.25	3.6072	1.6079	0	16.5368	18.7418	0	3.169	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
165	50490941	0.8359	5.9924	5.2964	0	17.7055	26.4502	0	7.1366	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
166	50490943	0.753	6.6459	5.08	0	18.8482	27.734	0	7.1366	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
167	50490944	0.2872	5.3776	3.3224	0	18.8482	26.3633	0	6.1763	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
168	50490945	0.5574	7.3515	4.8916	0	20.3949	29.2486	0	7.6125	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
169	50490946	0.513	7.3724	5.096	0	18.1565	27.8536	0	7.7651	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
170	50490947	0.25	3.6802	1.7912	0.0909	20.6248	27.4872	1.9339	5.7206	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
171	50490948	0.2407	5.6125	2.9074	0	20.6248	27.4872	0	5.7206	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
172	50490942	0.25	3.7229	1.7458	0	22.9646	25.9644	0	4.9447	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
173	50490949	0.25	3.7662	1.8228	0	23.5352	30.0832	0	6.3129	0	0.3128	0	0	0	0.2357	0.2439	0.1667	1.3629	0.4006
174	50490950	0.2654	5.982	3.3042	0	21.2552	28.5762	0	6.6332	0	0.3128	0	0	0	0	0	0.1667	1.3629	0.4006
175	50490951	1.5085	7.1185	7.5182	0	17.7055	27.5191	0	8.4597	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
176	50490952	0.2483	5.9035	2.9588	0	22.4919	28.6969	0	6.1763	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
177	50490953	0.25	3.7999	1.8765	0	26.8396	33.7853	0	7.6125	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
178	50490941	0.8359	5.9924	5.2964	0	17.7055	26.4502	0	7.1366	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
179	50490954	0.2483	5.693	3.0242	0	20.4997	27.4252	0	5.9101	0	0.3128	0	0	0	0	0	0.6552	1.6995	0.4006
