No.	NAME	MW	AMW	Sp	Mv	Mp	Mi	GD	nTA	nBM	RBN	RBF	nDB	nTB	nN	nO	nS	nCL	nBR	nI	nHM	nHet	nX	C%	N%	O%	X%	nCsp3	nCsp2	nCsp	Fsp3	max_conj_path	nStructures	totalcharge
199	8960	379.54	6.6586	37.0288	0.606	0.6496	1.1217	0.082	3	13	6	0.1	1	0	1	3	0	0	0	0	0	4	0	42.1053	1.7544	5.2632	0	11	13	0	0.4583	8	1	0
200	50488652	270.3	7.95	23.1478	0.6631	0.6808	1.1101	0.1158	3	13	2	0.0556	1	0	0	4	0	0	0	0	0	4	0	47.0588	0	11.7647	0	3	13	0	0.1875	8	1	0
201	50488653	449.49	8.0266	37.5626	0.6575	0.6708	1.1166	0.0682	5	20	7	0.1186	2	0	1	7	0	0	0	0	0	8	0	44.6429	1.7857	12.5	0	5	20	0	0.2	8	1	0
202	50488654	419.46	8.0665	35.3467	0.665	0.6797	1.1136	0.0731	4	20	6	0.1091	2	0	1	6	0	0	0	0	0	7	0	46.1538	1.9231	11.5385	0	4	20	0	0.1667	8	1	0
203	50488655	421.43	8.4286	34.0398	0.6753	0.6808	1.114	0.0731	4	20	6	0.1132	2	0	1	7	0	0	0	0	0	8	0	46	2	14	0	3	20	0	0.1304	8	1	0
204	50488656	330.36	7.8657	27.5796	0.6436	0.6567	1.1189	0.0942	5	13	4	0.0909	1	0	0	6	0	0	0	0	0	6	0	42.8571	0	14.2857	0	5	13	0	0.2778	8	1	0
205	50488657	300.33	7.9034	25.3637	0.6523	0.6675	1.115	0.1039	4	13	3	0.075	1	0	0	5	0	0	0	0	0	5	0	44.7368	0	13.1579	0	4	13	0	0.2353	8	1	0
206	50488658	300.33	7.9034	25.3637	0.6523	0.6675	1.115	0.1039	4	13	3	0.075	1	0	0	5	0	0	0	0	0	5	0	44.7368	0	13.1579	0	4	13	0	0.2353	8	1	0
207	50488659	434.43	8.6886	34.2841	0.6852	0.6857	1.1157	0.0706	5	22	6	0.1132	4	0	2	7	0	0	0	0	0	9	0	46	4	14	0	3	20	0	0.1304	8	1	0
208	50488660	359.4	8.1682	30.9149	0.684	0.7026	1.1059	0.0855	2	20	4	0.0851	2	0	1	4	0	0	0	0	0	5	0	50	2.2727	9.0909	0	2	20	0	0.0909	8	1	0
209	50488661	359.4	8.1682	30.9149	0.684	0.7026	1.1059	0.0855	2	20	4	0.0851	2	0	1	4	0	0	0	0	0	5	0	50	2.2727	9.0909	0	2	20	0	0.0909	8	1	0
210	50488662	300.33	7.9034	25.3637	0.6523	0.6675	1.115	0.1039	4	13	3	0.075	1	0	0	5	0	0	0	0	0	5	0	44.7368	0	13.1579	0	4	13	0	0.2353	8	1	0
