No.	NAME	qpmax	qnmax	Qtot	Qmean	Q2	RPCG	RNCG	SPP	LDI
4769	9398	0.2704	-0.3507	3.5512	0.0725	0.5534	0.1523	0.1975	0.6211	0.1174
4770	50004010	0.262	-0.2981	3.7601	0.0767	0.5802	0.1394	0.1586	0.5601	0.1236
4771	50004027	0.2247	-0.3124	3.2366	0.0611	0.4173	0.1389	0.193	0.5371	0.0958
4772	9386	0.2523	-0.352	3.4052	0.0642	0.4768	0.1482	0.2067	0.6043	0.1019
4773	50029930	0.2102	-0.4914	4.5203	0.0766	0.9444	0.093	0.2174	0.7017	0.1126
4774	9420	0.2546	-0.3413	3.8257	0.0736	0.6095	0.1331	0.1784	0.5959	0.1215
4775	50407941	0.252	-0.352	3.426	0.0646	0.4824	0.1471	0.2055	0.604	0.1019
4776	50405656	0.2095	-0.3937	2.7129	0.059	0.3775	0.1544	0.2903	0.6032	0.0824
4777	50003599	0.0624	-0.3014	1.5026	0.0537	0.1528	0.083	0.4012	0.3638	0.0786
4778	50405657	0.1721	-0.2064	2.4709	0.0749	0.258	0.0992	0.2806	0.3785	0.0871
4779	50405660	0.1715	-0.2064	2.7917	0.0681	0.276	0.0905	0.2304	0.3779	0.0779
4780	50405658	0.1715	-0.4874	3.5736	0.0831	0.5481	0.075	0.3788	0.6589	0.1111
4781	50405661	0.2097	-0.4945	4.0508	0.0942	0.747	0.083	0.3242	0.7042	0.1282
