No.	NAME	X1A	X2A	X3A	X5A	X2v	X4v	X0Av	X1Av	X3Av	X5Av	X3sol	RDCHI
5386	50200122	0.4379	0.2827	0.1789	0.0722	11.483	5.7569	0.5754	0.3134	0.0894	0.026	16.28	5.5218
5387	8961	0.433	0.2713	0.1733	0.0717	4.175	2.4097	0.5775	0.3247	0.0945	0.0299	5.8919	2.7438
5388	50200124	0.4442	0.2928	0.1885	0.0754	8.6151	4.0279	0.5849	0.3186	0.0953	0.0259	11.6885	4.5976
5389	50200125	0.4494	0.302	0.1888	0.0746	7.8696	3.1143	0.596	0.3101	0.0881	0.0228	10.3828	4.2777
5390	50200126	0.4353	0.2805	0.1773	0.0716	10.7759	5.4551	0.5692	0.3055	0.086	0.025	15.78	5.2915
5391	50199714	0.4473	0.2874	0.1781	0.0705	6.1492	2.8821	0.5525	0.2913	0.076	0.0205	9.9718	3.7317
5392	50200127	0.4485	0.2963	0.1914	0.0769	9.6758	4.5392	0.5951	0.3326	0.1025	0.0288	12.4385	4.9463
5393	50200129	0.4457	0.294	0.1895	0.0759	8.9687	4.1856	0.5885	0.3235	0.0978	0.027	11.9385	4.7144
5394	50200130	0.4426	0.2866	0.1819	0.0735	12.8972	6.464	0.5864	0.3275	0.0962	0.0284	17.28	5.9701
5395	50200123	0.4426	0.2916	0.1875	0.0745	8.2615	3.8509	0.5811	0.3134	0.0932	0.0245	11.4385	4.4801
5396	50200131	0.451	0.2984	0.1931	0.0779	10.3829	4.8928	0.601	0.3407	0.1069	0.0308	12.9385	5.1757
5397	50200128	0.4366	0.2816	0.1781	0.0719	11.1294	5.5953	0.5724	0.3095	0.0876	0.0256	16.03	5.4073
5398	50200751	0.437	0.2946	0.1848	0.0769	8.6785	4.5206	0.5719	0.3134	0.1032	0.0336	11.0725	4.4645
5399	8960	0.4411	0.2779	0.1814	0.0745	8.0705	4.712	0.6006	0.33	0.1084	0.0368	10.5196	4.0663
5400	50200753	0.4402	0.2902	0.188	0.0792	8.1103	4.3113	0.5878	0.3232	0.1078	0.0345	10.6618	4.2805
5401	50200754	0.4422	0.287	0.1851	0.0776	8.4515	4.5163	0.5928	0.3197	0.1038	0.0331	11.4291	4.3874
5402	50200767	0.4449	0.2846	0.1857	0.077	8.6731	4.6574	0.6064	0.3227	0.1044	0.0332	12.248	4.4795
5403	50200752	0.4509	0.2965	0.1865	0.0768	8.5474	4.3443	0.6397	0.3457	0.1151	0.0362	10.4315	4.1573
5404	50200769	0.4431	0.2875	0.1885	0.0785	8.3319	4.4524	0.6025	0.3262	0.1083	0.0346	11.4808	4.3734
5405	50200770	0.4391	0.2915	0.1824	0.0756	9.0197	4.7256	0.5774	0.3108	0.0999	0.0323	11.8398	4.5717
5406	50200771	0.4402	0.2902	0.188	0.0792	8.5467	4.4373	0.6138	0.335	0.1123	0.0363	11.3612	4.2805
5407	50200772	0.4402	0.2902	0.188	0.0792	8.4694	4.415	0.6092	0.3329	0.1115	0.036	11.0725	4.2805
5408	50200773	0.4475	0.2995	0.1889	0.0791	7.8526	3.8702	0.6351	0.346	0.1189	0.0382	9.4227	3.9303
5409	50200774	0.4422	0.287	0.1851	0.0776	8.888	4.6422	0.6172	0.3308	0.108	0.0347	12.1285	4.3874
5410	50200768	0.4493	0.2951	0.1854	0.0772	8.1938	4.0752	0.6372	0.3406	0.1131	0.036	10.19	4.0397
