No.	NAME	nCIR	TRS	Rperim	Rbrid	MCD	RFD	RCI	NRS	NNRS	nSpiro	nBridgeHead	nR03	nR04	nR05	nR06	nR07	nR08	nR09	nR10	nR11	nR12	nBnz	AP	D/Dtr03	D/Dtr04	D/Dtr05	D/Dtr06	D/Dtr07	D/Dtr08	D/Dtr09	D/Dtr10	D/Dtr11	D/Dtr12
3535	50194103	12	34	26	4	0.7429	0.3077	1.3077	2	0.3333	0	0	0	0	2	4	0	0	2	2	0	0	2	0.3429	0	0	138.223	350.067	0	0	264.7226	296.9194	0	0
3536	50336110	12	34	26	4	0.7222	0.3077	1.3077	2	0.3333	0	0	0	0	2	4	0	0	2	2	0	0	2	0.3333	0	0	143.1437	363.6319	0	0	275.0364	308.4758	0	0
3537	50194095	12	40	32	4	0.7805	0.25	1.25	2	0.3333	0	0	0	0	0	4	0	2	0	2	0	2	2	0.2927	0	0	0	364.7482	0	247.0351	0	310.3678	0	378.0349
3538	50333148	6	18	14	2	0.7	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5	0	0	0	112.4103	0	0	0	123.9646	0	0
3539	50333149	7	23	19	2	0.8636	0.2105	1.2105	2	0.5	0	0	0	0	1	3	0	0	0	2	0	0	0	0.4545	0	0	43.9404	125.2018	0	0	0	138.1356	0	0
3540	50333150	7	24	20	2	0.8696	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	0	0.4348	0	0	0	189.1437	0	0	0	146.6071	0	0
3541	50333151	6	18	14	2	0.6667	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.4762	0	0	0	122.8962	0	0	0	135.4992	0	0
3542	50333152	7	24	20	2	0.7692	0.2	1.2	2	0.5	0	0	0	0	0	4	0	0	0	2	0	0	1	0.6154	0	0	0	208.9934	0	0	0	166.7919	0	0
3543	50333153	6	18	14	2	0.7368	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5263	0	0	0	103.8038	0	0	0	114.5449	0	0
3544	50333154	6	18	14	2	0.7	0.2857	1.2857	1	0.3333	0	0	0	0	0	3	0	0	0	2	0	0	0	0.5	0	0	0	113.0654	0	0	0	124.7017	0	0
