No.	NAME	Eta_alpha_A	Eta_epsi_A	Eta_betaS_A	Eta_beta_A	Eta_C_A	Eta_F	Eta_F_A	Eta_FL_A	Eta_B	Eta_B_A	Eta_sh_p	Eta_sh_y	Eta_sh_x	Eta_D_AlphaA	Eta_D_AlphaB	Eta_epsi_2	Eta_epsi_4	Eta_epsi_5	Eta_D_epsiB	Eta_D_epsiD	Eta_D_psiA	Eta_D_psiB	Eta_D_beta	Eta_D_beta_A
2106	50179310	0.4864	0.6189	0.6705	1.2841	0.7988	17.6491	0.8022	0.2492	0.5545	0.0252	0.0685	0.3645	0	0	0.0136	0.8364	0.5511	0.7917	0.0679	0.0447	0.1325	0	-1.25	-0.0568
2107	50179312	0.4875	0.593	0.6771	1.2396	0.8615	19.7708	0.8238	0.2423	0.6438	0.0268	0.114	0.3675	0	0	0.0125	0.825	0.5377	0.825	0.0553	0	0.1231	0	-2.75	-0.1146
2108	50179315	0.4885	0.5735	0.6635	1.1827	0.9586	20.2707	0.7796	0.2224	0.5678	0.0218	0.105	0.3386	0	0	0.0115	0.8154	0.5271	0.8154	0.0464	0	0.1149	0	-3.75	-0.1442
2109	50179317	0.4882	0.5742	0.6765	1.25	0.9474	30.2857	0.8908	0.2432	0.7045	0.0207	0.0201	0.3133	0	0	0.0118	0.8	0.5179	0.8	0.0562	0	0.1037	0	-3.5	-0.1029
2110	50179321	0.4813	0.6278	0.68	1.28	0.8349	23.0171	0.9207	0.2521	0.7163	0.0287	0.1385	0.3989	0	0	0.0187	0.8507	0.5647	0.8507	0.063	0	0.1482	0	-2	-0.08
2111	50179323	0.5011	0.6116	0.6417	1.3417	0.8647	27.8491	0.9283	0.2564	0.6742	0.0225	0.0443	0.3259	0	0.0011	0	0.8089	0.5349	0.7925	0.0767	0.0164	0.0945	0	1.75	0.0583
2112	50179313	0.5091	0.6054	0.6477	1.2614	0.8654	16.1833	0.7356	0.232	0.5545	0.0252	0.0655	0.3482	0	0.0091	0	0.8136	0.5404	0.7708	0.065	0.0428	0.0883	0	-0.75	-0.0341
2113	50179325	0.49	0.583	0.6583	1.3083	0.8701	27.8075	0.9269	0.2578	0.6742	0.0225	0.0567	0.3265	0	0	0.01	0.8	0.5174	0.8	0.0656	0	0.1015	0	-0.25	-0.0083
2114	50179328	0.4814	0.5973	0.6691	1.2721	0.9356	33.609	0.9885	0.2565	0.7936	0.0233	0.112	0.3544	0	0	0.0186	0.8333	0.5355	0.8333	0.0618	0	0.1364	0	-2.25	-0.0662
2115	10404	0.4714	0.5643	0.6667	1.0476	0.9878	15.0206	0.7153	0.1976	0.621	0.0296	0.1347	0.3434	0.0505	0	0.0286	0.8286	0.522	0.8045	0.0423	0.024	0.145	0	-6	-0.2857
2116	50179319	0.5071	0.5585	0.6429	1.125	1.0661	18.3253	0.6545	0.186	0.5848	0.0209	0.0235	0.3099	0	0.0071	0	0.7893	0.5175	0.7724	0.041	0.0169	0.0715	0	-4.5	-0.1607
2117	50179314	0.4857	0.5714	0.6786	1.0357	1.0281	13.4729	0.6416	0.1833	0.7196	0.0343	0.2288	0.4216	0	0	0.0143	0.8429	0.5478	0.8429	0.0236	0	0.1377	0	-6.75	-0.3214
2118	50179334	0.488	0.5826	0.66	1.2	0.9266	19.3679	0.7747	0.2243	0.6606	0.0264	0.1093	0.3607	0	0	0.012	0.82	0.5321	0.8	0.0505	0.02	0.1189	0	-3	-0.12
2119	50179324	0.4842	0.5944	0.6974	1.0921	0.9205	12.7967	0.6735	0.2042	0.5754	0.0303	0.1993	0.413	0	0	0.0158	0.8579	0.565	0.8579	0.0294	0	0.1496	0	-5.75	-0.3026
2120	50088618	0.4691	0.5771	0.6341	1.2195	0.9803	43.5895	1.0632	0.2513	0.7766	0.0189	0.1473	0.3068	0	0	0.0309	0.8407	0.5217	0.8407	0.0554	0	0.156	0	-2	-0.0488
2121	50088620	0.4698	0.5719	0.631	1.2024	1.0192	43.9009	1.0453	0.2449	0.7386	0.0176	0.1436	0.299	0	0	0.0302	0.8373	0.5191	0.8373	0.0528	0	0.1529	0	-2.5	-0.0595
2122	50088613	0.4657	0.5812	0.6643	1.1643	0.9623	34.6573	0.9902	0.2405	0.7253	0.0207	0.1431	0.3252	0	0	0.0343	0.8543	0.5337	0.8543	0.0474	0	0.1688	0	-5.75	-0.1643
2123	50088622	0.4721	0.5659	0.6453	1.1919	1.0111	43.1824	1.0042	0.2404	0.7556	0.0176	0.0903	0.2857	0	0	0.0279	0.8256	0.5152	0.8256	0.0506	0	0.1422	0	-4.25	-0.0988
